buy_date,buy_price,sell_date,sell_price,shares,cost,sell_value,return,profit,hold_days,exit_reason,entry_type,confidence
2023-10-02,44.75312805175781,2023-10-26,40.30000305175781,5.590191573143214,250.17855930673568,225.2847374575823,-0.09950421778003715,-24.89382184915337,24,Hard Stop,bull_market,0.9999384880065918
2023-10-17,43.90967559814453,2023-10-26,40.30000305175781,1.3520606569453641,59.36854483548512,54.488048601059845,-0.082206768718174,-4.880496234425273,9,Hard Stop,bull_market,1.0
2024-03-12,91.86614227294922,2024-04-17,83.99214172363281,4.1953658014887365,385.4120716066299,352.3777589811243,-0.08571167085607523,-33.034312625505606,36,Hard Stop,bull_market,0.99974125623703
2023-09-20,42.21177291870117,2024-04-19,76.16114807128906,7.395494429713199,312.17693148857296,563.2493463217804,0.8042631902235793,251.07241483320746,212,Trailing Stop,bull_market,0.9957979321479797
2023-09-25,42.19477844238281,2024-04-19,76.16114807128906,7.90551401672779,333.5714124089809,602.0930236076564,0.8049898798565207,268.5216111986755,207,Trailing Stop,bull_market,0.9999643564224243
2023-11-06,45.72150802612305,2024-04-19,76.16114807128906,7.8504682079240435,358.935245177423,597.9006716126504,0.6657619435425071,238.9654264352274,165,Trailing Stop,bull_market,1.0
2023-11-07,45.92537689208984,2024-04-19,76.16114807128906,5.861714200312515,269.20143388306724,446.4348831615792,0.6583674043708723,177.23344927851196,164,Trailing Stop,bull_market,0.9999998807907104
2023-11-08,46.54397964477539,2024-04-19,76.16114807128906,4.337855872085146,201.90107541230043,330.3760833857875,0.6363265163948701,128.4750079734871,163,Trailing Stop,bull_market,0.9989363551139832
2023-11-10,48.3038444519043,2024-04-19,76.16114807128906,3.134860346571351,151.42580655922532,238.7545630380332,0.576709865135518,87.32875647880789,161,Trailing Stop,bull_market,0.9973064661026001
2023-11-13,48.58864974975586,2024-04-19,76.16114807128906,2.3373638803368815,113.569354919419,178.01631658682,0.5674678852682409,64.44696166740101,158,Trailing Stop,bull_market,0.9994625449180603
2024-03-08,87.4833755493164,2024-04-19,76.16114807128906,7.832082517247109,685.1770161895643,596.5003963026114,-0.12942147473087318,-88.67661988695284,42,Hard Stop,bull_market,0.9998165965080261
2024-03-11,85.73026275634766,2024-04-19,76.16114807128906,5.9941815832603895,513.8827621421732,456.5237511288884,-0.1116188657003746,-57.35901101328477,39,Hard Stop,bull_market,0.9998557567596436
2024-03-13,90.8416519165039,2024-04-19,76.16114807128906,3.182010097864114,289.05905370497237,242.3455422277658,-0.1616054258756574,-46.713511477206566,37,Hard Stop,bull_market,0.9999974966049194
2024-03-14,87.89915466308594,2024-04-19,76.16114807128906,2.4663978977920027,216.79429027872928,187.8436954964528,-0.13353947073539219,-28.950594782276482,36,Hard Stop,bull_market,1.0
2024-03-15,87.79219818115234,2024-04-19,76.16114807128906,1.8520520168949797,162.59571770904697,141.0544078944681,-0.13248386930537404,-21.541309814578852,35,Hard Stop,bull_market,1.0
2024-03-18,88.40989685058594,2024-04-19,76.16114807128906,1.3793341314250953,121.94678828178522,105.05167102324957,-0.13854499570333678,-16.89511725853565,32,Hard Stop,bull_market,1.0
2024-03-19,89.35242462158203,2024-04-19,76.16114807128906,1.0235882417145712,91.4600912113389,77.95765564125388,-0.14763199326889642,-13.502435570085026,31,Hard Stop,bull_market,0.9999994039535522
2024-04-17,83.99214172363281,2024-04-19,76.16114807128906,1.865525809180523,156.68950815378525,142.08058738380916,-0.09323483711262892,-14.608920769976095,2,Hard Stop,bull_market,1.0
2024-04-18,84.62782287597656,2024-04-19,76.16114807128906,1.3886346962695968,117.51713111533896,105.76001271951827,-0.10004599571343753,-11.757118395820683,1,Hard Stop,bull_market,1.0
2024-04-19,76.16114807128906,2024-07-25,112.2319564819336,17.60902420961741,1341.1235002195854,1976.2952387830962,0.473611668470139,635.1717385635109,97,Trailing Stop,bull_market,1.0
2024-04-22,79.47745513916016,2024-07-25,112.2319564819336,12.655697435247772,1005.842625164689,1420.3736838012464,0.4121231773893905,414.5310586365574,94,Trailing Stop,bull_market,1.0
2024-04-23,82.38097381591797,2024-07-25,112.2319564819336,9.157235389802496,754.3819688735168,1027.734443763136,0.3623528744964617,273.3524748896191,93,Trailing Stop,bull_market,1.0
2024-04-24,79.63636779785156,2024-07-25,112.2319564819336,7.104624335596601,565.7864766551377,797.365889253164,0.40930531596848385,231.57941259802635,92,Trailing Stop,bull_market,1.0
2024-04-25,82.5898666381836,2024-07-25,112.2319564819336,5.137916729546687,424.33985749135326,576.6384467982823,0.35890710386552005,152.29858930692905,91,Trailing Stop,bull_market,1.0
2024-04-26,87.69027709960938,2024-07-25,112.2319564819336,3.62930650517847,318.25489311851493,407.3241697487885,0.2798677366984115,89.06927663027358,90,Trailing Stop,bull_market,1.0
2024-04-29,87.71224212646484,2024-07-25,112.2319564819336,2.72129823673573,238.6911698388862,305.4166252796871,0.2795472303639879,66.72545544080089,87,Trailing Stop,bull_market,1.0
2024-04-30,86.35794830322266,2024-07-25,112.2319564819336,2.072980899807738,179.0183773791646,232.6547021351016,0.2996135119822594,53.63632475593698,86,Trailing Stop,bull_market,1.0
2024-05-01,82.99864959716797,2024-07-25,112.2319564819336,1.617662259398432,134.2637830343735,181.5534002992712,0.35221424717930727,47.289617264897714,85,Trailing Stop,bull_market,1.0
2024-05-02,85.77323913574219,2024-07-25,112.2319564819336,1.174000635750956,100.69783727578012,131.76038826136366,0.3084728711751066,31.06255098558354,84,Trailing Stop,bull_market,1.0
2024-07-26,113.0116195678711,2024-07-30,103.68561553955078,12.209823857200988,1379.8519687407145,1265.9831022633766,-0.08252252347130928,-113.86886647733786,4,Hard Stop,bull_market,1.0
2024-07-31,116.9699249267578,2024-08-02,107.22410583496094,7.006047763987286,819.4968809868722,751.2172069305641,-0.0833190163873263,-68.27967405630807,2,Hard Stop,bull_market,1.0
2024-07-25,112.2319564819336,2024-08-05,100.40702056884766,16.392858884927122,1839.8026249876193,1645.9581192410947,-0.10536157689623316,-193.84450574652465,11,Hard Stop,bull_market,1.0
2024-07-29,111.54225158691406,2024-08-05,100.40702056884766,9.277999698160542,1034.888976555536,931.5763065309679,-0.09982971349103353,-103.31267002456798,7,Hard Stop,bull_market,1.0
2024-08-01,109.16327667236328,2024-08-05,100.40702056884766,5.6303060834720915,614.6226607401541,565.3222587320904,-0.08021247044274948,-49.30040200806366,4,Hard Stop,bull_market,1.0
2024-08-02,107.22410583496094,2024-08-29,117.53968811035156,6.050610468940107,648.7712972877566,711.1868673964482,0.09620581300317244,62.415570108691554,27,Trailing Stop,bull_market,1.0
2024-08-19,129.94439697265625,2024-08-29,117.53968811035156,2.323463076120926,301.9210083147666,273.09912530317166,-0.09546166784640175,-28.821883011594934,10,Hard Stop,bull_market,1.0
2024-08-21,128.4450225830078,2024-08-29,117.53968811035156,1.3222043467453393,169.8305671770562,155.4114865345983,-0.0849027409030868,-14.419080642457885,8,Hard Stop,bull_market,1.0
2024-08-14,118.02948760986328,2024-09-03,107.95378875732422,6.063439118428093,715.664612301669,654.5712257336826,-0.08536594588839908,-61.093386567986386,20,Hard Stop,bull_market,1.0
2024-08-15,122.80743408203124,2024-09-03,107.95378875732422,4.370651200705992,536.7484592262517,471.8283564529601,-0.12095070168785782,-64.9201027732916,19,Hard Stop,bull_market,1.0
2024-08-16,124.5267105102539,2024-09-03,107.95378875732422,3.2327308958068133,402.5613444196888,348.9855482352042,-0.13308728452732255,-53.5757961844846,18,Hard Stop,bull_market,1.0
2024-08-20,127.19556427001952,2024-09-03,107.95378875732422,1.7802567057713654,226.44075623607495,192.18545634865188,-0.15127709541700318,-34.255299887423064,14,Hard Stop,bull_market,1.0
2024-08-22,123.6870574951172,2024-09-03,107.95378875732422,1.029799948048893,127.37292538279215,111.17080605397366,-0.12720222355046396,-16.202119328818483,12,Hard Stop,bull_market,1.0
